State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Missouri,4623522,3037488,65.7,2743050,59.3,294438,9.7,2009-11-01
Montana,769618,499194,64.9,464090,60.3,35104,7.0,2009-11-01
Nebraska,1368134,990228,72.4,942436,68.9,47792,4.8,2009-11-01
Nevada,2006744,1345289,67.0,1177434,58.7,167855,12.5,2009-11-01
New Hampshire,1059643,741153,69.9,694019,65.5,47134,6.4,2009-11-01
New Jersey,6785393,4542865,67.0,4098084,60.4,444781,9.8,2009-11-01
New Mexico,1523609,933079,61.2,859902,56.4,73177,7.8,2009-11-01
New York,15387723,9582339,62.3,8733084,56.8,849255,8.9,2009-11-01
New York city,6622175,3952007,59.7,3551744,53.6,400263,10.1,2009-11-01
North Carolina,7152631,4553298,63.7,4049529,56.6,503769,11.1,2009-11-01
North Dakota,505905,369444,73.0,354569,70.1,14875,4.0,2009-11-01
Ohio,8964826,5863349,65.4,5223144,58.3,640205,10.9,2009-11-01
Oklahoma,2785467,1759976,63.2,1637551,58.8,122425,7.0,2009-11-01
Oregon,3021588,1961392,64.9,1746925,57.8,214467,10.9,2009-11-01
Pennsylvania,9960433,6341910,63.7,5805125,58.3,536785,8.5,2009-11-01
Rhode Island,843259,565582,67.1,502737,59.6,62845,11.1,2009-11-01
South Carolina,3507589,2139877,61.0,1891342,53.9,248535,11.6,2009-11-01
South Dakota,620458,442586,71.3,420078,67.7,22508,5.1,2009-11-01
Tennessee,4886991,3035567,62.1,2715209,55.6,320358,10.6,2009-11-01
Texas,18221759,11999329,65.9,11004318,60.4,995011,8.3,2009-11-01
Utah,1986362,1355221,68.2,1249870,62.9,105351,7.8,2009-11-01
Vermont,508329,358493,70.5,335749,66.0,22744,6.3,2009-11-01
Virginia,6031267,4095945,67.9,3799649,63.0,296296,7.2,2009-11-01
Washington,5205382,3538010,68.0,3172250,60.9,365760,10.3,2009-11-01
West Virginia,1455387,810661,55.7,742760,51.0,67901,8.4,2009-11-01
Wisconsin,4427819,3080690,69.6,2798709,63.2,281981,9.2,2009-11-01
Wyoming,420108,300913,71.6,279665,66.6,21248,7.1,2009-11-01
Alabama,3634419,2144499,59.0,1891907,52.1,252592,11.8,2009-12-01
Alaska,514467,360453,70.1,331517,64.4,28936,8.0,2009-12-01
Arizona,4987853,3115422,62.5,2775036,55.6,340386,10.9,2009-12-01
Arkansas,2212101,1345690,60.8,1235879,55.9,109811,8.2,2009-12-01
California,28111925,18172283,64.6,15979281,56.8,2193002,12.1,2009-12-01
Los Angeles County,7549140,4876079,64.6,4279889,56.7,596190,12.2,2009-12-01
Colorado,3867378,2710561,70.1,2489336,64.4,221225,8.2,2009-12-01
Connecticut,2756043,1894857,68.8,1727215,62.7,167642,8.8,2009-12-01
Delaware,689720,429769,62.3,392190,56.9,37579,8.7,2009-12-01
District of Columbia,490641,340661,69.4,306783,62.5,33878,9.9,2009-12-01
Florida,14657213,9057975,61.8,8039270,54.8,1018705,11.2,2009-12-01
Georgia,7348529,4785187,65.1,4282305,58.3,502882,10.5,2009-12-01
Hawaii,984741,631973,64.2,586547,59.6,45426,7.2,2009-12-01
Idaho,1156479,759545,65.7,689507,59.6,70038,9.2,2009-12-01
Illinois,9906794,6610271,66.7,5865244,59.2,745027,11.3,2009-12-01
Indiana,4922905,3159417,64.2,2816984,57.2,342433,10.8,2009-12-01
Iowa,2340638,1677484,71.7,1570242,67.1,107242,6.4,2009-12-01
Kansas,2137157,1507883,70.6,1399244,65.5,108639,7.2,2009-12-01
Kentucky,3340801,2052984,61.5,1835339,54.9,217645,10.6,2009-12-01
Louisiana,3403890,2059351,60.5,1907998,56.1,151353,7.3,2009-12-01
Maine,1066053,693985,65.1,637053,59.8,56932,8.2,2009-12-01
Maryland,4419022,3039460,68.8,2806783,63.5,232677,7.7,2009-12-01
Massachusetts,5259886,3471474,66.0,3167437,60.2,304037,8.8,2009-12-01
Michigan,7776809,4855255,62.4,4178124,53.7,677131,13.9,2009-12-01
